animeTitle	Nishio no Yatsuzou
animeType	Special
animeNumEpisode	1
releaseDate	2014-05-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16748
animeDescription	A CGI commercial for Honke Yatsuhashi Nishio which aired on TV. Yatsuhashi in general are a traditional Japanese confection made from rice, sugar, and cinnamon and a common souvenir from Kyoto. The ninja mascots have gone on receive a mobile manga, character goods, and stickers on LINE. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
