animeTitle	Hanare Toride no Yonna
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.04
animeUsers	1108
animeRank	
animePopularity	8866
animeDescription	"Yonna and Stan, brother and sister, live in isolation because of their special powers. There are enigmatic people who plot to use their power, in conflict with the king`s government, which is also planning to draw them onto their side. Intrigue surrounds Yonna, and now a new agent comes to see her.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Garuda', 'Yonna', 'Piggott']
animeVoices	['KENN', 'Mitsuhashi, Kanako', 'Takeuchi, Junko']
animeStaff	[['Capcom', 'Original Creator']]
