animeTitle	b'Keshikasu-kun'
animeType	b'TV'
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Keshikasu-kun is an anthropomorphism anime about stationery. The main character is the eraser Keshikasu who aims to be an idol of the stationary world. He fights against other stationary and erases a mechanical pencil or gets crushed by a permanent marker.'
animeRelated	[]
animeCharacters	[b'Keshikasu', b'Minako']
animeVoices	[b'\nIwata, Mitsuo\nJapanese\n', b'\nMakiguchi, Mayuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKato, Takao\n\nDirector\n\n', b'\nKuwabata, Mitsuru\n\nCharacter Design\n\n', b'\nKitakata, Masami\n\nSound Effects\n\n']
