animeTitle	Battle Can²
animeType	OVA
animeNumEpisode	1
releaseDate	1987-05-25 00:00:00
endDate	
animeNumMembers	1051
animeScore	4.4
animeUsers	394
animeRank	
animePopularity	11016
animeDescription	"Join this band of femme fatales as they sacrifice their dignity to save the galaxy from unsavory space pirates. To solve their cases, they battle the bad guys, rescue stolen treasure, and wrestle space aliens. No job is too big, no humiliation is too great, and no alien has too many tentacles to keep them from the big score. 

On their latest mission, the Battle Can-Can girls are out to retrieve a stolen artifact known as the Cosmic Firefly, a gorgeous but fragile jewel worth many billions of dollars, much more than what they make in a year! In order to return it to the rightful owners, they must subdue the most vicious space pirates, have sex with aliens, and confront a traitor from within! 

(Source: animeondvd) "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
