animeTitle	b'Chou Mashin Eiyuuden Wataru'
animeType	b'TV'
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.94
animeUsers	425
animeRank	
animePopularity	
animeDescription	"b'After the battle with Doakuder at Soukaizan (the ""other"" world where the rainbow has disappeared because of the devils), a demon world Devil came to Genseikai (human world) and stole Wataru\'s conscience. Because of that, Wataru\'s heart of justice and his memories of being Kyuuseishu (world savior) vanished. After Shibaraku and Himiko brought him back to Shinbukai (the ""other"" world, where Soukaizan is located), Wataru regained his memories, however his conscience was still missing. To get it back, Kyuuseishu Wataru must return to fight the devils, rescuing all of Soukaizan from catastrophe!\n\nChou Mashin Eiyuuden Wataru is the 3rd work of the Mashin Eiyuuden Wataru TV series by SUNRISE, and is considered as a ""remake"" series of the previous Wataru series. It started airing from October 2, 1997, and ended on September 24, 1998, every Thursday from 6:00 to 6:30pm, with a total of 51 episodes.\n\n(Source: AniDB)'"
animeRelated	[b'Mashin Eiyuuden Wataru']
animeCharacters	[b'Shinobibe, Himiko', b'Ikusabe, Wataru', b'Tsurugibe, Shibaraku', b'Doudo', b'Doruku', b'Toraou', b'Suzume', b'Eko']
animeVoices	[b'\nHayashibara, Megumi\nJapanese\n', b'\nTanaka, Mayumi\nJapanese\n', b'\nNishimura, Tomomichi\nJapanese\n', b'\nAikawa, Rikako\nJapanese\n', b'\nYokoyama, Chisa\nJapanese\n', b'\nMiyamura, Yuko\nJapanese\n', b'\nHiguchi, Chieko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIuchi, Shuji\n\nDirector, Original Creator, Series Composition\n\n', b'\nFujino, Sadayoshi\n\nSound Director\n\n', b'\nUeda, Kouji\n\nEpisode Director\n\n', b'\nMieno, Hitomi\n\nTheme Song Performance\n\n']
