animeTitle	Itoshi no Muco
animeType	TV
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	6.79
animeUsers	2243
animeRank	
animePopularity	6207
animeDescription	"Muco is the sweetest, most lovable dog in the neighborhood. This sparkly-nosed Shiba Inu lives with her owner and best friend, Komatsu, a glassblower who lives in the mountains. These two companions have wonderful adventures, from going on walks to playing in the pond in front of their house. No matter where they go or what they do, Muco will always love her best friend Komatsu!

[Written by MAL Rewrite]"
animeRelated	['Itoshi no Muco', 'Lovely Movie: Itoshi no Muco', 'Lovely Movie: Itoshi no Muco Season 2', 'Itoshi no Muco OVA']
animeCharacters	['Muco', 'Komatsu, Seiji', 'Mutou', 'Shinohara, Tamaki', 'Shinohara', 'Bouda, Rena', 'Bouda', 'Ushijima, Kouhei']
animeVoices	['Yoshida, Hitomi', 'Hino, Satoshi', 'Takahashi, Hiroki', 'Kobayashi, Yuu', 'Nazuka, Kaori', 'Uesaka, Sumire', 'Fujiwara, Keiji', 'Majima, Junji']
animeStaff	[['Higa, Romanov', 'Director'], ['Shinohara, Parako', 'Storyboard'], ['Yamashita, Tomohisa', 'Theme Song Performance'], ['Yoshida, Hitomi', 'Theme Song Performance']]
