animeTitle	b'Sexfriend'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.68
animeUsers	8186
animeRank	
animePopularity	
animeDescription	"b'Tomohiro Takabe is suprised one day when Mina Hayase tells him she wants to be more than a friend. Instead of being her boyfriend, Tomohiro is going to be her ""sexfriend"". With the help of the school nurse, the two spend their days in the nurses office. The two then decide to further their friendship by trying out some new ways. \n\n(Source: ANN)'"
animeRelated	[b'Sex Friend']
animeCharacters	[b'Hayase, Mina', b'Takabe, Tomohiro', b'Nonomiya, Taeko', b'Nonomiya, Kaori ']
animeVoices	[b'\nShizuki, Ami\nJapanese\n', b'\nHyo-sei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKatsura, Kurige\n\nDirector\n\n', b'\nSaegusa, Chiaki\n\nSound Director\n\n', b'\nmilktub\n\nTheme Song Composition\n\n', b'\nSekiya, Yoshihiro\n\nDirector of Photography\n\n']
