animeTitle	Holy Knight
animeType	OVA
animeNumEpisode	2
releaseDate	2012-03-21 00:00:00
endDate	2012-05-25 00:00:00
animeNumMembers	
animeScore	5.98
animeUsers	17033
animeRank	
animePopularity	2843
animeDescription	"The story centers around a timid orphan named Mizumura Shinta who goes to a missionary school in Tokyo. His seemingly normal life changes when a beautiful half-human Romanian girl named Lilith suddenly transfers into his school. Mizumura discovers that he is actually a vampire hunter and the successor of the Romuald lineage.

(Source: ANN)"
animeRelated	['Holy Knight']
animeCharacters	['Kishimoto, Lilith', 'Mizumura, Shinta', 'Cammot', 'Carmilla', 'Makimura, Chizuru', 'Shuttery, Plum']
animeVoices	['Uchida, Maaya', 'Shimono, Hiro', 'Taketatsu, Ayana', 'Kokubun, Yukari', 'Tatsumi, Yuiko', 'Suzumura, Kenichi']
animeStaff	[['Fujimoto, Jirou', 'Director'], ['Uchida, Maaya', 'Theme Song Performance'], ['Miyazaki, Maya', 'Original Creator'], ['Lauda, Brittany', 'ADR Director']]
