animeTitle	b'Nisekoimonogatari'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.82
animeUsers	16038
animeRank	
animePopularity	
animeDescription	"b""Trailer for a fake crossover anime created by Shaft as an April Fools' Day joke, celebrating their 40th anniversary."""
animeRelated	[b'Bakemonogatari', b'Nisekoi']
animeCharacters	[b'Senjougahara, Hitagi', b'Kirisaki, Chitoge', b'Hanekawa, Tsubasa', b'Onodera, Kosaki']
animeVoices	[]
animeStaff	[]
