animeTitle	Uchiyama Aki
animeType	OVA
animeNumEpisode	3
releaseDate	1984-12-15 00:00:00
endDate	1985-01-10 00:00:00
animeNumMembers	1611
animeScore	5.44
animeUsers	540
animeRank	
animePopularity	10002
animeDescription	"Lolita Anime was made on base of manga by Aki Uchiyama.

Lolita Anime Vol.1 : Uchiyama Aki no Obyoki Aki-chan
Lolita Anime Vol.2 : Milk Nomi Ningyo
Lolita Anime Vol.3 : Uchiyama Aki no Omorashi Gokko

Note: There is another series titled ""Lolita Anime."" but it was made a little bit earlier."
animeRelated	[]
animeCharacters	['Uchiyama, Aki']
animeVoices	[]
animeStaff	[]
