animeTitle	b'Amnesia OVA'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.36
animeUsers	14595
animeRank	
animePopularity	
animeDescription	b'Animate Tokuten for purchasing all 6 volumes of TV Anime Series.\n\nThe contents of the OVA are from the Drama CDs.'
animeRelated	[b'Amnesia']
animeCharacters	[b'Ukyou', b'Shin', b'Touma', b'Ikki', b'Kent', b'Orion', b'Heroine', b'Rika']
animeVoices	[b'\nMiyata, Kouki\nJapanese\n', b'\nKakihara, Tetsuya\nJapanese\n', b'\nHino, Satoshi\nJapanese\n', b'\nTaniyama, Kishou\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nIgarashi, Hiromi\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nYoshida, Seiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYanagi, Nagi\n\nTheme Song Lyrics, Theme Song Performance\n\n', b'\nHanamura, Mai\n\nOriginal Character Design\n\n', b'\nTomioka, Takashi\n\nKey Animation\n\n']
