animeTitle	b'Mahou no Yousei Persia'
animeType	b'TV'
animeNumEpisode	48
releaseDate	
endDate	
animeNumMembers	
animeScore	6.74
animeUsers	434
animeRank	
animePopularity	
animeDescription	"b'11-year-old Persia has grown up alongside the animals on the Serengeti plains of Africa. Twins Riki and Gaku Muroi and their grandfather, Gouken, bring Persia to Japan with them, where she will live with a couple (who Persia calls Mama and Papa) that own a grocery store. During the flight to Japan, Persia finds herself in the ""Lovely Dream"" where she meets the Fairy Queen, who explains that the Lovely Dream is in danger and requests Persia\'s help. Giving Persia a magical headband (which can also summon a magical baton) that allows her to transform into a teenage girl, connecting her to the Lovely Dream and allowing her to use magic. She is sent with three kappa back into the regular world with the mission of collecting love energy to thaw the frozen Lovely Dream. If Persia fails her task of collecting love energy or if someone catches her using magic, Riki and Gaku will be transformed into women.\n\n(Source: ANN)'"
animeRelated	[b'Persia ga Suki!', b'Majokko Club Yoningumi: A Kuukan kara no Alien X', b'Adesugata Mahou no Sannin Musume', b'Mahou no Yousei Persia Pilot', b'Mahou no Yousei Persia: Escape!', b'Mahou no Yousei Persia: Kaiten Mokuba']
animeCharacters	[b'Hayami, Persia', b'Muroi, Riki', b'Muroi, Gaku', b'Simba', b'Meso Meso', b'Hayami, Kumi', b'Hayami, Hideki', b'Manabe, Yoyoko ', b'Puri Puri', b'Mitomo, Sayo']
animeVoices	[b'\nTominaga, Miina\nJapanese\n', b'\nMizushima, Yuu\nJapanese\n', b'\nNanba, Keiichi\nJapanese\n', b'\nGouri, Daisuke\nJapanese\n', b'\nKameyama, Sukekiyo\nJapanese\n', b'\nTakashima, Gara\nJapanese\n', b'\nNojima, Akio\nJapanese\n', b'\nKishiro, Sakurako\nJapanese\n', b'\nMita, Yuuko\nJapanese\n', b'\nShimazu, Saeko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKatayama, Kazuyoshi\n\nDirector\n\n', b'\nAnnou, Takashi\n\nDirector\n\n', b'\nFujiyama, Fusanobu\n\nSound Director\n\n', b'\nTamano, Harumi\n\nEpisode Director, Storyboard\n\n']
