animeTitle	Saint Seiya Omega
animeType	TV
animeNumEpisode	97
releaseDate	
endDate	
animeNumMembers	
animeScore	6.26
animeUsers	17272
animeRank	
animePopularity	2682
animeDescription	"The god of war and guardian of his namesake planet, Mars, was once sealed away by Seiya, but time has passed and his revival is at hand. Meanwhile, Saori Kido (Athena) is raising the boy Kouga, whose life Seiya saved, and he's been training every day to become a Saint in order to prepare for the coming crisis... 

Unaware of his destiny, when Kouga awakens to the power of his Cosmo hidden inside him, the curtain will rise upon the legend of a new Saint.

(Source: ANN)"
animeRelated	['Saint Seiya Omega: New Cross Tanjou-hen', 'Saint Seiya: Tenkai-hen Josou - Overture']
animeCharacters	['Pegasus, Kouga', 'Aquila, Yuna', 'Dragon, Ryuuhou', 'Orion, Eden', 'Lionet, Souma', 'Wolf, Haruto', 'Equuleus, Subaru', 'Phoenix, Ikki', 'Dragon, Shiryuu', 'Pegasus, Seiya']
animeVoices	['Yukino, Satsuki', 'Kakihara, Tetsuya', 'Suwabe, Junichi', 'Konishi, Katsuyuki', 'Mizuhara, Kaoru', 'Mizushima, Yuu', 'Sugita, Tomokazu', 'Narita, Ken', 'Furuya, Toru']
animeStaff	[['Umezawa, Atsutoshi', 'Producer'], ['Nagamine, Tatsuya', 'Director, Episode Director, Storyboard'], ['Hatano, Morio', 'Director'], ['Kureta, Kouhei', 'Director']]
