animeTitle	Teekyuu 4
animeType	TV
animeNumEpisode	12
releaseDate	2015-04-07 00:00:00
endDate	2015-06-23 00:00:00
animeNumMembers	
animeScore	6.7
animeUsers	10822
animeRank	
animePopularity	4025
animeDescription	Fourth season of Teekyuu series.
animeRelated	['Teekyuu', 'Teekyuu 3', 'Takamiya Nasuno Desu!: Teekyuu Spin-off', 'Teekyuu 5', 'Teekyuu 4 Specials']
animeCharacters	['Bandou, Marimo', 'Shinjou, Kanae', 'Takamiya, Nasuno', 'Oshimoto, Yuri', 'Tomalin', 'Kondou, Annenkov', 'Oshimoto, Youta', 'Kondou, Udonko']
animeVoices	['Hanazawa, Kana', 'Mimori, Suzuko', 'Narumi, Kyoko', 'Watanabe, Yui', 'Ogura, Yui', 'Kitamura, Eri', 'Oosaka, Ryouta', 'Ishihara, Kaori']
animeStaff	[['Itagaki, Shin', 'Director, Sound Director, Episode Director, Script, Storyboard, Animation Director, Character Design, Chief Animation Director'], ['Mimori, Suzuko', 'Theme Song Performance'], ['Yashikin', 'Theme Song Lyrics, Theme Song Arrangement, Theme Song Composition'], ['Terada, Tsugeo', 'Original Creator']]
