animeTitle	Umi no Triton
animeType	TV
animeNumEpisode	27
releaseDate	1972-04-01 00:00:00
endDate	1972-09-30 00:00:00
animeNumMembers	
animeScore	6.24
animeUsers	490
animeRank	
animePopularity	9891
animeDescription	"5000 years ago, the Triton Family was living peacefully in Atlantis until the Poseidon Family destroyed them all. Triton, of the Triton Family line, embarks on an adventurous life in the sea fighting the Poseidon Family.

(Source: AnimeNfo)"
animeRelated	['Umi no Triton', 'Umi no Triton (1979)', 'Aoi Triton']
animeCharacters	['Triton', 'Pipi']
animeVoices	['Shioya, Yoku', 'Hirokawa, Akemi']
animeStaff	[['Tomino, Yoshiyuki', 'Director, Script, Storyboard'], ['Urakami, Yasuo', 'Sound Director'], ['Tsuji, Masaki', 'Script'], ['Yamayoshi, Yasuo', 'Storyboard']]
