animeTitle	Hoshigari Hime no Bouken
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16665
animeDescription	"A fairy-tale telling the story of a wealthy, spoiled princess Katharine who got changed into ""normal"" girl by a Witch and now have to live among common village folks adapting to their modest lifestyle.

*Part of the series of films produced with cooperation of: Japan's Central Council for Financial Services Information and Bank of Japan Public Relations Department."
animeRelated	['UFO Nitsukamatta Kodomo-tachi', 'Okane wa Mawaru: Kurashi to Kinyuu', 'Hyakumannen Attara, Dousuru?']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
