animeTitle	Choushin Hime Dangaizer 3
animeType	OVA
animeNumEpisode	4
releaseDate	1999-10-08 00:00:00
endDate	2001-03-23 00:00:00
animeNumMembers	
animeScore	5.39
animeUsers	603
animeRank	
animePopularity	9611
animeDescription	"10,000 years ago, acting as judge, jury and executioner, Dangaizer sealed the fate of mankind by reducing it to ashes. Slowly, mankind rebuilt their civilization and once again stands at its peak. Hiding amongst the survivors of mankind, the evil organization of Goma lies in wait for the return of Dangaizer. This time, it’s a race to stop the awakening of the 3 that can pilot Dangaizer and subjugate the world to their rule. Will the 3rd pilot learn her true destiny and awaken in time, or will the world find a new destiny in the hands of Goma?

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Mitsurugi, Hina', 'Reika Fou', 'Professor Tachibana', 'Natsuki', 'Shahani, Cindy', 'D.D', 'Megumi', 'Mitsurugi, Koichiro']
animeVoices	['Ikezawa, Haruna', 'Kimura, Akiko', 'Chiba, Shigeru', 'Komoto, Akiko', 'Kuwashima, Houko', 'Miki, Shinichiro', 'Kawasaki, Eriko', 'Tachiki, Fumihiko']
animeStaff	[['Oobari, Masami', 'Director, Episode Director, Script, Storyboard, Series Composition, Animation Director, Original Creator, Mechanical Design, Background Art, Key Animation'], ['Watanabe, Jun', 'Sound Director'], ['Kuwashima, Houko', 'Theme Song Performance'], ['Sakamoto, Masayuki', 'Theme Song Composition, Theme Song Arrangement, Music']]
