animeTitle	Memories Off
animeType	OVA
animeNumEpisode	3
releaseDate	2001-11-21 00:00:00
endDate	2002-03-06 00:00:00
animeNumMembers	
animeScore	5.88
animeUsers	2010
animeRank	
animePopularity	6501
animeDescription	"Tomoya Mikami's life changed one day when his girlfriend Ayaka was hit by a car and killed on her way to meet Tomoya. He blamed himself for her death and never was the same after the accident. He began acting callously towards Yue and his other friends. Furthermore, every time Tomoya gets involved with a new girl, he sees images of Ayaka in his dreams. He decides he needs to find a way to say goodbye to his lost love once and for all, while dealing with several side romances at the same time.

(Source: ANN)"
animeRelated	['Memories Off 2nd']
animeCharacters	['Mikami, Tomoya', 'Imasaka, Yue', 'Ibuki, Minamo', 'Futami, Shion', 'Shin, Inaho', 'Kaoru, Otoha', 'Kirishima, Koyomi', 'Hizuki, Ayaka']
animeVoices	['Midorikawa, Hikaru', 'Nasu, Megumi', 'Tanaka, Kumi', 'Kagata, Yuko', 'Majima, Junji', 'Tamura, Yukari', 'Asano, Ruri', 'Yamamoto, Maria']
animeStaff	[['Shikura, Chiyomaru', 'Theme Song Composition, Theme Song Arrangement, Theme Song Lyrics, Music'], ['Kawana, Midori', 'Theme Song Performance'], ['Yamamoto, Maria', 'Theme Song Performance'], ['KID', 'Original Creator']]
