animeTitle	b'Master Mosquiton'
animeType	b'OVA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.67
animeUsers	2093
animeRank	
animePopularity	
animeDescription	"b""In the 1920's, Inaho resurrects a vampire named Mosquiton with her blood. He awakens and becomes her slave. Now, Inaho is after the O-Part, which will grant her immortality. However, a bunch of supernatural monsters are out to stop them from achieving their goal.\n\n(Source: ANN)"""
animeRelated	"[b'Master Mosquiton', b""Master Mosquiton '99""]"
animeCharacters	[b'Mosquiton, Alucard von', b'Hitomebore, Inaho', b'Camilla, Camille Inaho', b'Honoo', b'Yuki']
animeVoices	[b'\nKoyasu, Takehito\nJapanese\n', b'\nImai, Yuka\nJapanese\n', b'\nTsuru, Hiromi\nJapanese\n', b'\nUeda, Yuuji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamamoto, Yuusuke\n\nDirector\n\n', b'\nIshihara, Tatsuya\n\nEpisode Director, Storyboard\n\n', b'\nImai, Yuka\n\nTheme Song Performance\n\n', b'\nMima, Masafumi\n\nSound Effects\n\n']
