animeTitle	b'Yoroiden Samurai Troopers Message'
animeType	b'OVA'
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	5.94
animeUsers	758
animeRank	
animePopularity	
animeDescription	b'A 300-year-old book is discovered which chronicles the adventures of the legendary Samurai Troopers\xe2\x80\xa6 centuries before they happen! But what does this mean? Are the Troopers merely puppets in some cosmic play, acting out parts? \n\nWho is this mysterious Suzunagi, a mysterious girl who entices each of the warriors with their hearts\xe2\x80\x99 desire - salvation, new armors, freedom from a life of fighting. Why is she so interested in the troopers and their armors?\n\n(Source: AniDB)'
animeRelated	[b'Yoroiden Samurai Troopers Kikoutei Densetsu']
animeCharacters	[b'Hashiba, Touma', b'Date, Seiji', b'Sanada, Ryo', b'Rei Fuan, Shu', b'Mouri, Shin', b'Yagyu, Nasuti']
animeVoices	[b'\nTakemura, Hiroshi\nJapanese\n', b'\nNakamura, Daiki\nJapanese\n', b'\nKusao, Takeshi\nJapanese\n', b'\nKusakabe, Kaori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYatate, Hajime\n\nOriginal Creator\n\n', b'\nYamane, Masahiro\n\nKey Animation\n\n', b'\nShioyama, Norio\n\nAnimation Director, Character Design\n\n', b'\nTotsuka, Osamu\n\nMusic\n\n']
