animeTitle	b'Leonardo Hakase to Kirin-mura no Nakama-tachi (TV)'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'A collaboration between Japan Toys""R""Us and DLE. These episodes followed Dr. Leonardo from the Eagle Talon franchise; and two Giraffe brothers, relatives of the original Geoffrey the Giraffe.\n\nThis TV season was created due to the popularity of the web episodes. The shorts were shown within ""Fight Tension\xe2\x98\x86Depart,"" a variety program that sponsored the anime.'"
animeRelated	[b'Leonardo Hakase to Kirin-mura no Nakama-tachi', b'Leonardo Hakase to Kirin-mura no Nakama desho']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
