animeTitle	Mujaki no Rakuen
animeType	OVA
animeNumEpisode	3
releaseDate	2014-08-29 00:00:00
endDate	2016-08-29 00:00:00
animeNumMembers	
animeScore	5.91
animeUsers	8642
animeRank	
animePopularity	3761
animeDescription	"Shouta Handa is a jobless 25 year old who is sick and tired of his boring life. One evening, at the class reunion, he gets to meet all of the cute girls that used to be his classmates. He soon discovers that they are all successful with interesting careers, and even more importantly—really beautiful now, with bigger curves. Unfortunately, it seems that they are all aware of his boring, unsuccessful life, so they mock him and call him a loser, just like in the old days.

Everything changes when Shouta goes for a walk to have a smoke and accidentally falls into the school swimming pool. This triggers a supernatural phenomenon that takes him back ten years into the past. He finds himself in the same swimming pool during swimming class, surrounded by his female classmates in bikinis. How is Shouta going to deal with their cuteness and closeness now that he is a grown man in a boy's body?"
animeRelated	['Mujaki no Rakuen']
animeCharacters	['Handa, Shouta', 'Harukaze, Konomi', 'Ikenohata, Sayo', 'Sasaki, Nako', 'Kamiya, Manatsu', 'Fujita, Michiko', 'Kaneko, Rio']
animeVoices	['Takumi, Yasuaki', 'Nomura, Mayuka', 'Satou, Kanami', 'Inoue, Nana', 'Hirai, Sachie', 'Hashimoto, Chinami', 'Niina, Ayano']
animeStaff	[['Nishikawa, Takashi', 'Director'], ['Araki, Hideki', 'Director, Storyboard, Chief Animation Director, Character Design'], ['Nomura, Mayuka', 'Theme Song Performance'], ['Uran', 'Original Creator']]
