animeTitle	Taiyou no Ouji: Horus no Daibouken
animeType	Movie
animeNumEpisode	1
releaseDate	1968-07-21 00:00:00
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	3502
animeRank	
animePopularity	6071
animeDescription	"Horus is a boy that one day, hunted by silver wolves, found the sword of the sun. The day his father died he left his home to find the people from the town his father told him. Together with a small bear named Koro he starts the journey and runs into a great adventure fighting against Grunwald and his subordinates who want to rule the world.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Hilda', 'Hols', 'Mauni', 'Drago', 'Father Hols', 'Chiro', 'Toto', 'Village Chief', 'Flip', 'Ganko, Jii-san']
animeVoices	['Ichihara, Etsuko', 'Okata, Hisako', 'Mizugaki, Youko', 'Nagata, Yasushi', 'Yokomori, Hisashi', 'Ohara, Noriko', 'Mishima, Masao', 'Hori, Junko', 'Touno, Ejirou']
animeStaff	[['Takahata, Isao', 'Director'], ['Mamiya, Michio', 'Theme Song Composition, Theme Song Arrangement, Music'], ['Miyazaki, Hayao', 'Key Animation'], ['Mori, Yasuji', 'Key Animation']]
