animeTitle	Chu-Bra!!
animeType	TV
animeNumEpisode	12
releaseDate	2010-01-04 00:00:00
endDate	2010-03-22 00:00:00
animeNumMembers	44440
animeScore	6.22
animeUsers	19262
animeRank	7574
animePopularity	2659
animeDescription	"The story centers on Nayu, a middle school girl who shocks her schoolmates on the first day of school by wearing black lace panties. She likes this kind of underwear, and she tries to ""spread the word on the merits of [these kinds of] underwear"" via an underwear club with her schoolmates, who are worried about their bodies' development and which underwear to choose.

(Source: ANN)"
animeRelated	['Chu-Bra!!']
animeCharacters	['Hayama, Nayu', 'Komachi, Hiroki', 'Amahara, Kiyono', 'Shiraishi, Haruka', 'Jinguuji, Yako', 'Mizuno, Tamaki', 'Takatou', 'Tsukamoto', 'Tanihara', 'Seto, Kaori']
animeVoices	['Chihara, Minori', 'Satou, Yuudai', 'Hikasa, Youko', 'Yahagi, Sayuri', 'Kotobuki, Minako', 'Ohara, Sayaka', 'Asakawa, Yuu', 'Mayama, Ako', 'Nakamura, Yuuichi', 'Sugiura, Naoko']
animeStaff	[['Yamanaka, Takahiro', 'Producer'], ['Hiiro, Yukina', 'Director'], ['Kikuta, Hiromi', 'Sound Director'], ['Yoshimura, Ai', 'Episode Director']]
