animeTitle	Mighty Orbots
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	5.78
animeUsers	175
animeRank	
animePopularity	12226
animeDescription	"Set in the twenty-third century, Mighty Orbots relates the adventures of Rob Simmons, a scientist, and his robots (called Orbots)—Tur, Bort, Beau, Crunch, and Ono—all members of the Galactic Patrol, the Earth-based futuristic police force. The focal point of the program is their battle against Shadow, a sinister planet of evil whose leader, Umbra, seeks to control the universe.

(Source: Film.com, edited)"
animeRelated	['Broots']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
