animeTitle	Kakutou Ryouri Densetsu Bistro Recipe
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.04
animeUsers	1651
animeRank	
animePopularity	7402
animeDescription	"An 11-year old boy named Zen bands together with his younger sister, Karen, and a young boy who has a large appetite, Pitan, to battle an evil empire by using their ""Foodons""; strange monsters that are created from various foods.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Makunouchi, Zen', 'Miamia', 'Pi-tan', 'Haoji', 'Makunouchi, Tsukiji', 'Makunouchi, Karin']
animeVoices	['Sakamoto, Chika', 'Hayashi, Tamao', 'Mita, Yuuko', 'Takagi, Wataru', 'Iwasaki, Masami', 'Nasu, Megumi']
animeStaff	[['Yasumi, Tetsuo', 'Director, Series Composition'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Yamazaki, Yuuta', 'Theme Song Performance'], ['Fujita, Tsutomu', 'Art Director']]
