animeTitle	Shukufuku no Campanella
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.29
animeUsers	10043
animeRank	
animePopularity	3325
animeDescription	"The story takes place in a trading city Ert'Aria. Leicester Maycraft is an item engineer belonging to an adventurer guild ""Oasis."" One night, he is at a party with his friends to see a meteor stream on the rooftop of a chapel. One meteor grazes them and hits the steeple of the chapel. There he finds a secret room and a sleeping girl. The girl wakes up and says ""You must be my father!"" The encounter with the mysterious girl brings an unexpected adventure to Leicester."
animeRelated	['Shukufuku no Campanella', 'Shukufuku no Campanella Specials', 'Shukufuku no Campanella: La Campanella Della Benedizione']
animeCharacters	"['Boulange, Agnes', 'Arcot, Chelsea', 'Tortilla, Ritos', 'Maycraft, Leicester', 'Verritti, Carina', 'Minette', 'Tortilla, Salsa', ""La'juck, Nick"", 'Roland, Aberdeen', 'Maycraft, Shelley']"
animeVoices	['Mizuhashi, Kaori', 'Imai, Asami', 'Gotou, Mai', 'Okamoto, Nobuhiko', 'Koyama, Kimiko', 'Kadowaki, Mai', 'Yunohara, Ari', 'Fujiwara, Keiji', 'Sugiyama, Noriaki', 'Takano, Naoko']
animeStaff	[['Ushiro, Shinji', 'Director, Episode Director, Storyboard'], ['Enomoto, Takahiro', 'Sound Director'], ['Oikawa, Kei', 'Episode Director, Storyboard, Assistant Director'], ['Nishouji, Yoshihito', 'Episode Director, Storyboard']]
