animeTitle	Naedoko Demon's Ground
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.58
animeUsers	537
animeRank	
animePopularity	10144
animeDescription	"Lu Luu had went missing after heading to the town castle and Eliza and the gang went out to look for her.

There they found a girl named Jard bound up and violated...

To their horror, they discovered that the Acklem knights capture female adventurers and offer them to monsters as human seed beds... and they were next...

(Source: hanime)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
