animeTitle	Kaitou Joker 4th Season
animeType	TV
animeNumEpisode	13
releaseDate	2016-10-03 00:00:00
endDate	2016-12-26 00:00:00
animeNumMembers	3690
animeScore	7.32
animeUsers	1446
animeRank	2305
animePopularity	7864
animeDescription	"Fourth season in the Kaitou Joker anime series.

The thief Mysterious Joker doesn't just steal things. An audacious and elusive miracle-maker, he travels the world searching for treasure with his partner and cook Hachi. As they circle the globe, they must avoid traps set by the police and compete in various competitions to reach their final goal, the Timeslip Treasure.

(Source: ANN)"
animeRelated	['Kaitou Joker', 'Kaitou Joker 3rd Season']
animeCharacters	['Joker', 'Spade', 'Diamond, Queen', 'Hachi', 'Akai, Tsubasa', 'President D', 'Rose', 'Ai', 'Kira', 'Dr. Neo']
animeVoices	['Murase, Ayumu', 'Shimono, Hiro', 'Sawashiro, Miyuki', 'Kobayashi, Yumiko', 'Matsuoka, Yoshitsugu', 'Kishio, Daisuke', 'Koyasu, Takehito']
animeStaff	[['Noshitani, Mitsutaka', 'Episode Director'], ['Satou, Dai', 'Script, Series Composition'], ['Ootsuka, Takashi', 'Storyboard'], ['Aruka Rider', 'Theme Song Performance']]
