animeTitle	b'Biohazard: Infinite Darkness'
animeType	b'ONA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.24
animeUsers	5421
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[]
animeCharacters	[b'Kennedy, Leon Scott', b'Redfield, Claire', b'Shen Mei', b'Ryan', b'Wilson', b'Patrick', b'Jason', b'Graham']
animeVoices	[b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nKaida, Yuuko\nJapanese\n', b'\nHan, Megumi\nJapanese\n', b'\nOgata, Mitsuru\nJapanese\n', b'\nTahara, Aruno\nJapanese\n', b'\nNojima, Kenji\nJapanese\n', b'\nTachiki, Fumihiko\nJapanese\n', b'\nInoue, Kazuhiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHasumi, Eiichirou\n\nDirector\n\n', b'\nCapcom\n\nOriginal Creator\n\n']
