animeTitle	Muteki Kanban Musume
animeType	TV
animeNumEpisode	12
releaseDate	2006-07-05 00:00:00
endDate	2006-09-20 00:00:00
animeNumMembers	
animeScore	7.1
animeUsers	6966
animeRank	
animePopularity	4159
animeDescription	"Miki Onimaru is a poster girl that works at her mother's Chinese ramen restaurant. She appears to be a normal girl, but she can become very violent if provoked. She picks a fight with her mother and accquaintances as a result on an almost daily basis, causing a series of troubling mishaps in their otherwise normal lives. 

(Source: ANN)"
animeRelated	['Muteki Kanban Musume']
animeCharacters	['Onimaru, Miki', 'Kannazuki, Megumi', 'Nishiyama, Kankuro', 'Kayahara, Tomoka', 'Toshiyuki', 'Onimaru, Makiko', 'Ohta, Akihiko', 'Pink Star', 'Endou, Wakana']
animeVoices	['Nabatame, Hitomi', 'Koshimizu, Ami', 'Hiyama, Nobuyuki', 'Mine, Kaori', 'Naya, Rokurou', 'Sadaoka, Sayuri', 'Nakamura, Yuuichi', 'Fujimura, Ayumi', 'Nakajima, Saki']
animeStaff	[['Kawase, Kouhei', 'Producer'], ['Satomi, Tetsurou', 'Producer'], ['Tomisawa, Nobuo', 'Director'], ['Kikuta, Hiromi', 'Sound Director']]
