animeTitle	Ace wo Nerae!
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.04
animeUsers	2447
animeRank	
animePopularity	5215
animeDescription	"On her first day at Nishi High School, 15-year-old Hiromi Oka is inspired by top player Reika ""Ochoufujin"" Ryuuzaki to take up tennis. Shortly after joining the school's tennis club, she encounters Jin Munakata, the club's new coach. Munakata puts everyone under rigorous training that even puts Ochoufujin to shame. Despite the hardships, Hiromi's determination prompts the coach to select her as part of the club's main players. Because of this, Hiromi must endure the peer pressure from her seniors to become an ace tennis player.

(Source: ANN)"
animeRelated	['Ace wo Nerae', 'Ace wo Nerae! (1979)', 'Shin Ace wo Nerae!']
animeCharacters	['Oka, Hiromi', 'Ryuuzaki, Reika', 'Munakata, Jin', 'Todou, Takayuki', 'Aikawa, Maki', 'Otowa, Kyoko', 'Midorikawa, Ranko', 'Hoshino , Miho ']
animeVoices	['Kousaka, Makoto', 'Ikeda, Masako', 'Nakata, Kouji', 'Mori, Katsuji', 'Sugaya, Masako', 'Komiya, Kazue', 'Yanaga, Kazuko']
animeStaff	[['Dezaki, Osamu', 'Director, Episode Director, Storyboard, Key Animation'], ['Hata, Masami', 'Storyboard'], ['Oosugi, Kumiko', 'Theme Song Performance'], ['Kawajiri, Yoshiaki', 'Principle Drawing, Key Animation']]
