animeTitle	TANK S.W.A.T. 01
animeType	OVA
animeNumEpisode	1
releaseDate	2006-03-24 00:00:00
endDate	
animeNumMembers	2474
animeScore	4.86
animeUsers	1009
animeRank	11611
animePopularity	8881
animeDescription	Masamune Shirow presents a story about the Dominion Tank Police dealing with terrorists taking over the NT Building with AI driven tanks.
animeRelated	['Dominion']
animeCharacters	['Ozaki, Leona', 'Annapuma', 'Unipuma']
animeVoices	['Yukino, Satsuki', 'Kawatsuma, Miho']
animeStaff	[['Higa, Romanov', 'Director'], ['Chida, Kazuhiro', 'Sound Director'], ['Shirow, Masamune', 'Original Creator']]
