animeTitle	Yousei Ou
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.56
animeUsers	352
animeRank	
animePopularity	10392
animeDescription	"Jack has moved to Hokkaido to get treatment for an illness, but he's lonely and unhappy. One night a man on a horse rides through his window to help him. For a reason he doesn't understand, Jack instantly knows the man's name and feels they've met somewhere before. The man, Cu Chulainn, tells Jack to open the moonlight shadow window, which leads him to Nymphidia, the world of Midsummer Night's Dream, whose inhabitants are waiting for a new Fairy King

Based on a manga from 1978 by Ryoko Yamagishi. 

(Source: ANN)"
animeRelated	['Youseiou']
animeCharacters	['Jack', 'Elizabeth', 'Marijeanne', 'Yuuna', 'Ihika', 'Pook', 'Kuufuurin', 'Sylphide', 'Harpy', 'Queen Mab']
animeVoices	['Mitsuya, Yuuji', 'Takamori, Yoshino', 'Yokoo, Mari', 'Shibata, Yumiko', 'Hironaka, Masashi', 'Okamoto, Maya', 'Tomiyama, Kei', 'Watanabe, Naoko', 'Mukaidono, Asami', 'Ikeda, Masako']
animeStaff	[['Yamada, Katsuhisa', 'Director'], ['Honda, Yasunori', 'Sound Director'], ['Konparu, Tomoko', 'Script'], ['Takei, Masaki', 'Key Animation']]
