animeTitle	b'Baby\xe2\x98\x86Love'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	2546
animeRank	
animePopularity	
animeDescription	"b""Seara loved Shuhei ever since she was a little girl. Although, Shuhei was three years older and much bigger than her. He told her to come back when she was older and more grown-up. A few years later, Seara grew to look like a high school student and managed to riggle her way into Shuhei's home. She will now attempt to win his heart, although there might be some obstacles in her path. \n"""
animeRelated	[b'Baby\xe2\x98\x85Love']
animeCharacters	[b'Seto, Shuuhei', b'Arisugawa, Seara', b'Seto, Koharu', b'Shdo, Rai']
animeVoices	[b'\nKasahara, Hiroko\nJapanese\n', b'\nTakeuchi, Junko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKudou, Susumu\n\nDirector\n\n', b'\nKonparu, Tomoko\n\nScript\n\n', b'\nShiina, Ayumi\n\nOriginal Creator\n\n', b'\nKanemura, Katsuyoshi\n\nArt Director\n\n']
