animeTitle	Byeolnala Samchongsa
animeType	Movie
animeNumEpisode	1
releaseDate	1979-07-21 00:00:00
endDate	
animeNumMembers	397
animeScore	5.5
animeUsers	128
animeRank	10366
animePopularity	13563
animeDescription	Three Earth boys aid a space princess to protect her giggly planet of happiness from evil, grim space pirates. They travel to her planet, storm the enemy base and then get chased in space.
animeRelated	['Samchongsa: Time Machine 001']
animeCharacters	"['Oz', 'Golden Robot', ""Koundari's Mother"", 'Kyzer', 'Momo', ""Oz's Friend"", 'Princess Lulu', 'Koundari']"
animeVoices	[]
animeStaff	[]
