animeTitle	Neo Angelique Abyss
animeType	TV
animeNumEpisode	13
releaseDate	2008-04-07 00:00:00
endDate	2008-06-30 00:00:00
animeNumMembers	
animeScore	6.82
animeUsers	13269
animeRank	
animePopularity	3046
animeDescription	"While the young Angelique lives out her days peacefully in her school, attacks from the monstrous Thanatos has been increasing everywhere else. Two Purifiers show up one day, men with the power to exterminate the Thanatos. One of them, Nyx, attempts to convince Angelique to join them in their work, as she has the power to be the only female Purifier. As Angelique hesitates, a Thanatos shows up in their school. Nyx and the other Purifier, Rayne, fight a losing battle. With her classmates falling prey to the Thanatos, and the Purifiers beaten to submission, Angelique's desire to save everyone awakens. She became the only female Purifier in their land of Arcadia, the one known as the ""Queen's Egg""."
animeRelated	['Neo Angelique', 'Angelique', 'Neo Angelique Abyss: Second Age']
animeCharacters	['Rayne', 'Angelique', 'Nyx', 'Hyuga', 'Jade', 'Erenfried', 'Roche', 'Jet', 'Mathias', 'René']
animeVoices	['Takahashi, Hiroki', 'Endou, Aya', 'Ookawa, Tooru', 'Ono, Daisuke', 'Onosaka, Masaya', 'Irino, Miyu', 'Kimura, Ryouhei', 'Nakamura, Yuuichi', 'Kusunoki, Taiten', 'Yamaguchi, Kappei']
animeStaff	[['Katagai, Shin', 'Director'], ['Kikuta, Hiromi', 'Sound Director'], ['Yamada, Yuka', 'Script, Series Composition'], ['Yamashita, Kenichi', 'Script']]
