animeTitle	Kaji to Kouma
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	72
animeScore	
animeUsers	
animeRank	16540
animePopularity	18100
animeDescription	"A fire safety video meant as a teaching aid for schools. Not much is known about this film except that Yoshikazu Yasuhiko did the character designs as it was mentioned in on page 117 of the ""Yoshikazu Yasuhiko Design Notes"" booklet published as an add-on to the December issue of Animage no. 56.
"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
