animeTitle	Koutetsu Tenshi Kurumi Encore
animeType	OVA
animeNumEpisode	4
releaseDate	2000-07-19 00:00:00
endDate	2000-10-04 00:00:00
animeNumMembers	
animeScore	6.68
animeUsers	2956
animeRank	
animePopularity	6378
animeDescription	"Four additional short stories of the Steel Angels: Saki becomes a film actress, Karinka goes on a blind date with Kamihito, Kurumi practices the art of becoming a traditional Japanese woman, and the rest of the Steel Angels engage in a contest to win Nakahito's heart. 

(Source: ANN)"
animeRelated	['Koutetsu Tenshi Kurumi']
animeCharacters	['Kurumi', 'Karinka', 'Saki', 'Kagura, Nakahito', 'Kagura, Kamihito', 'Ayanokouji, Tetsuo', 'Kaga', 'Dr. Brandow']
animeVoices	['Enomoto, Atsuko', 'Kurata, Masayo', 'Tanaka, Rie', 'Kuwashima, Houko', 'Matsumoto, Yasunori', 'Suzuoki, Hirotaka', 'Tezuka, Chiharu', 'Morikawa, Toshiyuki']
animeStaff	[['Takahashi, Naohito', 'Director'], ['Tanaka, Rie', 'Theme Song Performance'], ['Enomoto, Atsuko', 'Theme Song Performance'], ['Kurata, Masayo', 'Theme Song Performance']]
