animeTitle	Shiguang Guiyu
animeType	ONA
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	5.41
animeUsers	182
animeRank	
animePopularity	11106
animeDescription	On his wedding day, Shi Xiaoguang could only helplessly watch as a mysterious power took his bride Xiaqing, away. Afterwards, he found that no one remembered the existence of “Xiaqing” and he is hunted by this unclear force. Faced with this situation, Shi Xiaoguang slowly began understanding that the world as he knew it had changed. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
