animeTitle	Cyborg 009: Call of Justice 3
animeType	Movie
animeNumEpisode	1
releaseDate	2016-12-09 00:00:00
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	1456
animeRank	
animePopularity	7945
animeDescription	"The story will depict Joe Shimamura and the other cyborgs' struggle with the Bresudo, a group of people who possess superhuman powers and intellect, and have manipulated human history since ancient times. Their goals are unknown, and they cast a dark shadow over the world. Though few people believe in the Bresdo's existence, one American journalist named Lucie Davenport heads to Texas to contact a certain family, and she meets the cyborgs. The cyborgs themselves have been freed from their duty of protecting humanity ever since the establishment of the UN Guardian troops, and they now live quiet lives of peace.
"
animeRelated	['Cyborg 009', 'Cyborg 009: Call of Justice', 'Cyborg 009: The Cyborg Soldier', 'Cyborg 009 (1979)', 'Cyborg 009 (TV)', 'Cyborg 009: Call of Justice 2']
animeCharacters	['Shimamura, Joe', 'Heinrich, Albert', 'Link, Jet', 'Arnoul, Françoise', 'Great Britain', 'Whisky, Ivan', 'Gilmore, Isaac', 'Geronimo Jr.', 'Pyunma', 'Changku, Chang']
animeVoices	['Koumoto, Keisuke', 'Hino, Satoshi', 'Satou, Takuya', 'Taneda, Risa', 'Satou, Setsuji', 'Fukuen, Misato', 'Sugisaki, Ryou', 'Nomura, Kenji', 'Ishiya, Haruki', 'Madono, Mitsuaki']
animeStaff	[['Morishita, Katsuji', 'Producer'], ['Kamiyama, Kenji', 'Director, Script, Screenplay'], ['Kakimoto, Koudai', 'Director, Storyboard'], ['Iwanami, Yoshikazu', 'Sound Director']]
