animeTitle	Gaikotsu Shotenin Honda-san OVA
animeType	OVA
animeNumEpisode	1
releaseDate	2019-02-27 00:00:00
endDate	
animeNumMembers	8066
animeScore	6.79
animeUsers	2262
animeRank	4673
animePopularity	5800
animeDescription	Unaired episode included with the DVD releases bundled with the re-release of the first three volumes of the manga.
animeRelated	['Gaikotsu Shotenin Honda-san']
animeCharacters	['Honda']
animeVoices	['Saitou, Souma']
animeStaff	[['Honda', 'Original Creator']]
