animeTitle	Cool Devices
animeType	OVA
animeNumEpisode	11
releaseDate	1995-04-25 00:00:00
endDate	1997-11-28 00:00:00
animeNumMembers	
animeScore	6.23
animeUsers	2206
animeRank	
animePopularity	6319
animeDescription	"Welcome to a series of tapes the likes of which you've never seen before! Strong stories, highly charged with erotic content are all presented without Japan's export censorship (as they were intended to be seen).

They do not follow a single story. They break all the rules. They are Cool Devices. They aren't for kids, but they might be for you if you have the guts. Welcome to a new world... and be sure to wash your hands when you're done.

(Source: Official Site)"
animeRelated	['Dorei Senshi Maya']
animeCharacters	['Yuuki, Ai', 'Rui', 'Mizutani, Maya', 'Kana']
animeVoices	['Yuzuki, Ryouka', 'Shimamura, Kaoru', 'Nishihara, Kumiko', 'Ootani, Ikue']
animeStaff	[['Kotoyoshi, Yumisuke', 'Director'], ['Utatane, Hiroyuki', 'Director, Creator'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Umetsu, Yasuomi', 'Character Design']]
