animeTitle	Akichi Asobi: Playground
animeType	Movie
animeNumEpisode	1
releaseDate	2013-01-01 00:00:00
endDate	
animeNumMembers	1043
animeScore	6.18
animeUsers	433
animeRank	7762
animePopularity	11051
animeDescription	A boy is always alone, at school, or at home.  One day, he finds a sandlot on the way home and thinks of making a ‘town’ of his own.  Another boy was watching his play and starts to imitate him.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
