animeTitle	b'Overman King Gainer'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.9
animeUsers	3076
animeRank	
animePopularity	
animeDescription	b'Sometime in the distant future, mankind is forced to live in domed cities while the rest of the world is left to recover from years of environmental hardships. In the Siberian Dome-polis, professional gamer Gainer Sanga and mercenary Gain Bijou commandeer an Overman and lead a mass exodus out of the city.\n\n(Source: ANN)'
animeRelated	[b'Overman King Gainer', b'Overman King Gainer Recap']
animeCharacters	[b'Sanga, Gainer', b'Bijou, Gain', b'Kodama, Sara', b'Kistler, Adette', b'Medaiyu, Ana', b'Lane, Cynthia', b'Laujin, Meeya', b'Datto, Kejinan', b'Bale, Kashimaru', b'Boone, Karin']
animeVoices	[b'\nNojima, Hirofumi\nJapanese\n', b'\nKawano, Otoya\nJapanese\n', b'\nKobayashi, Ai\nJapanese\n', b'\nHayashi, Marika\nJapanese\n', b'\nKitou, Noriko\nJapanese\n', b'\nNakanishi, Yumiko\nJapanese\n', b'\nFujiwara, Keiji\nJapanese\n', b'\nOrikasa, Fumiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTomino, Yoshiyuki\n\nDirector, Original Creator\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n', b'\nYamamoto, Yuusuke\n\nEpisode Director, Storyboard\n\n', b'\nMiyaji, Masayuki\n\nEpisode Director, Storyboard\n\n']
