animeTitle	Pooky's
animeType	Movie
animeNumEpisode	1
releaseDate	2007-09-11 00:00:00
endDate	
animeNumMembers	43
animeScore	
animeUsers	
animeRank	12820
animePopularity	18335
animeDescription	"Charming but Surreal. Scary but Adorable. Pooky's is a ""Cool and Stylish"" animation comedy full of cute & unique ghost characters. Designers'unit ""Spooky graphic"" presents a great 3DCG animation piece to all the kids in the world. 

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
