animeTitle	Break Blade 5: Shisen no Hate
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.83
animeUsers	32009
animeRank	
animePopularity	2437
animeDescription	Fifth Break Blade Movie.
animeRelated	['Break Blade', 'Break Blade 4: Sanka no Chi', 'Break Blade 6: Doukoku no Toride']
animeCharacters	['Arrow, Rygart', 'Girge', 'Erster, Sigyn', 'Zaubraff, Cleo', 'Borcuse', 'Stryze, Narvi', 'Hodr', 'Baldr', 'Nike', 'Sakura']
animeVoices	['Hoshi, Souichirou', 'Toriumi, Kousuke', 'Saitou, Chiwa', 'Hanazawa, Kana', 'Nakai, Kazuya', 'Inoue, Marina', 'Nakamura, Yuuichi', 'Sugawara, Masashi', 'Shiraishi, Ryouko', 'Katsuragi, Nanaho']
animeStaff	[['Hirasawa, Nao', 'Producer'], ['Habara, Nobuyoshi', 'Director, Storyboard'], ['Tsuruoka, Youta', 'Sound Director'], ['Foster, Steven', 'Script, ADR Director']]
