animeTitle	Phantom Yuusha Densetsu
animeType	OVA
animeNumEpisode	1
releaseDate	1991-01-24 00:00:00
endDate	
animeNumMembers	
animeScore	5.34
animeUsers	215
animeRank	
animePopularity	12174
animeDescription	Yazawa, a Japanese pilot, suffers a crash in his Phantom jetfighter. After a six month recovery, his old friend from an airplane magazine wants him to investigate the appearance of a Phantom in an armed conflict in El Salvador. Yazawa's investigations makes him wind up in an international arms conspiracy. Based on a series of military fiction novels. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
