animeTitle	Dr. Slump Movie 06: Arale-chan N-cha! Penguin Mura wa Hare Nochi Hare
animeType	Movie
animeNumEpisode	1
releaseDate	1993-06-03 00:00:00
endDate	
animeNumMembers	
animeScore	6.16
animeUsers	351
animeRank	
animePopularity	10765
animeDescription	"At the Penguin Village, the dinosaurs styled monster named Dodongadon appeared. But he was small as Arale and did not have strong power. Arale defeat him very easily, and Dodongadon called his mother Mamangadon. She was huge and had a big power. How Arale can defeat this big monster?

(Source: Official Website)"
animeRelated	['Dr. Slump: Arale-chan']
animeCharacters	['Norimaki, Arale', 'Norimaki, Senbei', 'Yamabuki, Midori', 'Mamangadon', 'Dodongadon', 'Suppaman', 'Norimaki, Gajira', 'Sarada, Kinoko', 'Kimidori, Akane', 'Soramame, Peasuke']
animeVoices	['Koyama, Mami', 'Utsumi, Kenji', 'Kawanami, Yoko', 'Kataoka, Tomie', 'Yamamoto, Keiko', 'Furuya, Toru', 'Teppouzuka, Yoko', 'Matsui, Mami']
animeStaff	[['Kaizawa, Yukio', 'Director'], ['Toriyama, Akira', 'Original Creator'], ['Kikuchi, Shunsuke', 'Music'], ['Iwane, Masaaki', 'Key Animation']]
