animeTitle	Metal Fight Beyblade vs. Taiyou: Shakunetsu no Shinryakusha Sol Blaze
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.56
animeUsers	2411
animeRank	
animePopularity	6792
animeDescription	"It's summer vacation. In front of Ginga and Co, who are excited about a Beyblade tournament, Helios, a mysterious youth, stands in their way. In his hands, he possesses ""Sol Blaze"", a Beyblade that has been passed down since ancient times. As intense battle between Ginga vs. Helios unfolds, extreme weather develops throughout the world.

(Source: ANN)"
animeRelated	['Metal Fight Beyblade: Baku']
animeCharacters	['Hagane, Ginga', 'Tategami, Kyouya', 'Kadoya, Masamune', 'Amano, Madoka', 'Helios', 'Ootori, Tsubasa', 'Tendou, Yuu', 'Yumiya, Kenta', 'Hyoma', 'Fukami, Ryuutarou']
animeVoices	['Kanada, Aki', 'Hino, Satoshi', 'Sanpei, Yuuko', 'Shindou, Kei', 'Maeno, Tomoaki', 'Irino, Miyu', 'Nazuka, Kaori', 'Katou, Emiri', 'Kakihara, Tetsuya', 'Yuuki, Hiro']
animeStaff	[['Odaka, Yoshinori', 'Storyboard'], ['Matsuoka, Hideaki', 'Key Animation'], ['Wada, Toshiya', 'Sound Effects'], ['Komaru, Toshiyuki', 'Animation Director, Key Animation']]
