animeTitle	Ginsoukikou Ordian
animeType	TV
animeNumEpisode	24
releaseDate	2000-04-04 00:00:00
endDate	2000-09-19 00:00:00
animeNumMembers	2577
animeScore	5.69
animeUsers	484
animeRank	9785
animePopularity	8797
animeDescription	"Kananase Yu is just an ordinary high-school student. Since he has mysterious inside knowledge about piloting a mecha, he is recruited by the International Military Organization as a potential test pilot for a new mobile armor. However, apparently there are other young recruits around his age, including one of his classmates, were recruited as test pilot as well. Now Kananase Yu must prove that he is the best to be the test pilot. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Maqmahausen, Nell', 'Kananase, Yuu', 'Aihara, Nanna', 'Erikmeyer, Wolf']
animeVoices	['Ikezawa, Haruna', 'Kawada, Shinji', 'Enomoto, Atsuko', 'Miki, Shinichiro']
animeStaff	[['Nagai, Masaru', 'Producer'], ['Oobari, Masami', 'Director, Episode Director, Script, Storyboard, Character Design, Animation Director, Mechanical Design, Key Animation'], ['Watanabe, Jun', 'Sound Director'], ['Nakazawa, Kazuto', 'Episode Director, Storyboard, Key Animation']]
