animeTitle	Saint Seiya: Jashin Eris
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.81
animeUsers	10014
animeRank	
animePopularity	4294
animeDescription	"Eris is the goddess of chaos and uses the body of Elien, who is a friend of Hyoga, to revive herself. She obtains the golden apple to drain Athena's life energy to make her ressurection complete and to be able to turn the world in a place filled with chaos. But to be able to attack Eris, Seiya and his friends will first have to defeat the Ghost Knights. 

(Source: ANN)"
animeRelated	['Saint Seiya']
animeCharacters	['Phoenix, Ikki', 'Dragon, Shiryuu', 'Pegasus, Seiya', 'Andromeda, Shun', 'Cygnus, Hyouga', 'Kido, Saori', 'Eris', 'Lyra, Orpheus', 'Sagitta, Maya', 'Aizawa, Eri']
animeVoices	['Hori, Hideyuki', 'Suzuoki, Hirotaka', 'Furuya, Toru', 'Horikawa, Ryo', 'Hashimoto, Kouichi', 'Han, Keiko', 'Fujita, Toshiko', 'Mitsuya, Yuuji', 'Kobayashi, Michitaka', 'Shou, Mayumi']
animeStaff	[['Morishita, Kouzou', 'Director'], ['Baroli, Gilberto', 'Script, ADR Director'], ['Suga, Yoshiyuki', 'Script'], ['Yamada, Nobuo', 'Theme Song Composition']]
