animeTitle	Xenosaga The Animation
animeType	TV
animeNumEpisode	12
releaseDate	2005-01-06 00:00:00
endDate	2005-03-24 00:00:00
animeNumMembers	
animeScore	6.35
animeUsers	7430
animeRank	
animePopularity	4108
animeDescription	"The year is T.C. 4767. Four thousand years have passed since humanity abandoned its birthplace, the planet Earth. Beset by the hostile alien Gnosis, mankind is now scrambling to find ways to defeat this threat to their existence. The development of KOS-MOS (a specialized android with amazing capabilities) by Vector engineer Shion Uzuki was one response to the threat. But when their ship is destroyed by the Gnosis, Shion and her companions find themselves thrust into the middle of a battle with no clear sides...

(Source: Anime-Planet)"
animeRelated	[]
animeCharacters	['KOS-MOS', 'Chaos', 'Uzuki, Shion', 'Kukai Jr., Gaignun', 'Mizrahi, MOMO', 'Wilhelm', 'Ziggurat-8', 'Piazzolla, Albedo', 'Uzuki, Jin', '99 Series Obversational Realian model']
animeVoices	['Suzuki, Mariko', 'Hoshi, Souichirou', 'Maeda, Ai', 'Kawasaki, Eriko', 'Shishido, Rumi', 'Midorikawa, Hikaru', 'Ebara, Masashi', 'Yamadera, Kouichi', 'Tanaka, Hideyuki', 'Hirohashi, Ryou']
animeStaff	[['Chung, Jin Ho', 'Producer'], ['Yamaoka, Hidehito', 'Producer, Planning'], ['Yamauchi, Shigeyasu', 'Director'], ['Koga, Gou', 'Director']]
