animeTitle	Chiisana Kyojin Microman: Daigekisen! Microman vs. Saikyou Senshi Gorgon
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14333
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Chiisana Kyojin Microman']
animeCharacters	['Mizusawa, Mami', 'Izamu', 'Kyuuji, Kouhei', 'Arthur']
animeVoices	[]
animeStaff	[['Abe, Noriyuki', 'Director'], ['Mori, Hiromi', 'Theme Song Lyrics'], ['Nagaoka, Seikou', 'Music']]
