animeTitle	Highway Jenny
animeType	OVA
animeNumEpisode	1
releaseDate	2006-09-27 00:00:00
endDate	
animeNumMembers	1153
animeScore	5.28
animeUsers	473
animeRank	10938
animePopularity	10785
animeDescription	"Various places in the world, trouble is awakening the terror inside every person's view of life, the distant future of overhead airspace is shown in ""Highway Jenny.""

 It compares existence with one's lifetime and afterlife, it contemplates the purity and death of future generations, and to the person who looks at the importance of the choices in their own life, it will be appealing.

(Source: AnimeNfo)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
