animeTitle	Animagear
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.4
animeUsers	147
animeRank	
animePopularity	14676
animeDescription	A promotional video for the new Bandai candy-toy line with Shokugan. Kids buy packaged candy boxes and pieces of the toy are in it, kids have to assemble their Animagear robot animal action figure. Certain ones are also interchangeable with parts for a hybrid robot animal. Candy-toys will hit stores in August with five Animagears in the line-up.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
