animeTitle	b'Di Gi Charat Nyo'
animeType	b'TV'
animeNumEpisode	104
releaseDate	
endDate	
animeNumMembers	
animeScore	7.06
animeUsers	1825
animeRank	
animePopularity	
animeDescription	b'Di Gi Charat (a.k.a. Dejiko) - along with Petit Charat (a.k.a. Puchiko) and Gema - travels to Earth as part of her training to become a full-fledged princess. They crash on a small town in Japan, where they meet the Omocha brothers (who spend most of their time thinking how cute Puchiko is) and Mr. & Mrs. Ankoro (an elderly couple that makes Japanese sweets).\n\n(Source: ANN)'
animeRelated	[b'Di Gi Charat']
animeCharacters	[b'Di Gi Charat', b'Petit Charat', b'Usada, Hikaru', b'Analogue III, Pyocola', b'Gema', b'Schweitzer, Ky', b'Erhard, Coo', b'Heisenberg, Rik', b'Abarenbou', b'Usada, Akari']
animeVoices	[b'\nSanada, Asami\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nHikami, Kyouko\nJapanese\n', b'\nHayashibara, Megumi\nJapanese\n', b'\nKamei, Yoshiko\nJapanese\n', b'\nSuzuki, Chihiro\nJapanese\n', b'\nSaeki, Tomo\nJapanese\n', b'\nToriumi, Kousuke\nJapanese\n', b'\nUeda, Yuuji\nJapanese\n', b'\nIguchi, Yuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSakurai, Hiroaki\n\nDirector, Script\n\n', b'\nAraki, Tetsurou\n\nEpisode Director, Storyboard\n\n', b'\nNakase, Rika\n\nScript\n\n', b'\nKaneko, Shingo\n\nStoryboard\n\n']
