animeTitle	Soukyuu no Fafner: Dead Aggressor - The Beyond Part 2
animeType	Movie
animeNumEpisode	3
releaseDate	2019-11-08 00:00:00
endDate	
animeNumMembers	
animeScore	7.09
animeUsers	435
animeRank	
animePopularity	8393
animeDescription	Episodes 4-6 of the Soukyuu no Fafner: Dead Aggressor - The Beyond series. 
animeRelated	['Soukyuu no Fafner: Dead Aggressor - The Beyond', 'Soukyuu no Fafner: Dead Aggressor - The Beyond Part 3']
animeCharacters	['Minashiro, Soushi', 'Toomi, Maya', 'Makabe, Kazuki', 'Kasugai, Kouyou', 'Kurusu, Misao', 'Kaburagi, Sui', 'Ghose, Anila Aurobindo', 'Mikado, Reo', 'Makabe, Fumihiko', 'Mikagami, Mimika']
animeVoices	[]
animeStaff	[['Noto, Takashi', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Ubukata, Tow', 'Script, Series Composition'], ['angela', 'Theme Song Performance']]
