animeTitle	Patta Potta Monta
animeType	TV
animeNumEpisode	26
releaseDate	2006-08-01 00:00:00
endDate	2007-01-30 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15973
animeDescription	Three monkey brothers from the from an urban city go to live in the countryside. There's no convenience store nor arcades there; truly bare-bones. The story follows their daily lives trying to make friends and have fun amongst the villagers. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
