animeTitle	One Piece: Episode of Sorajima
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.15
animeUsers	9247
animeRank	
animePopularity	3807
animeDescription	"The special will be the first in the ""Episode of"" series to cover the Skypeia arc, and will feature a character who did not appear in the original Skypeia arc from the anime.

(Source: ANN)"
animeRelated	['One Piece']
animeCharacters	['Monkey D., Luffy', 'Roronoa, Zoro', 'Sanji', 'Nico, Robin', 'Tony Tony, Chopper', 'Usopp', 'Nami', 'Enel', 'Montblanc, Norland', 'Wiper']
animeVoices	['Tanaka, Mayumi', 'Nakai, Kazuya', 'Hirata, Hiroaki', 'Yamaguchi, Yuriko', 'Ootani, Ikue', 'Yamaguchi, Kappei', 'Okamura, Akemi', 'Morikawa, Toshiyuki', 'Ootsuka, Houchuu', 'Kiuchi, Reiko']
animeStaff	[['Uda, Kounosuke', 'Director'], ['Endou, Tetsuya', 'Director'], ['Oda, Eiichiro', 'Original Creator'], ['Satou, Masayuki', 'Character Design']]
