animeTitle	Cambrian
animeType	OVA
animeNumEpisode	2
releaseDate	2005-11-25 00:00:00
endDate	2006-05-25 00:00:00
animeNumMembers	
animeScore	5.75
animeUsers	1628
animeRank	
animePopularity	7520
animeDescription	Dr. Yamagishi was expelled from an academic society because he had tried to make a human clone. Next theme of his study was a new human species Cambrian. He made himself a test target. However, he turned into a chunk of grotesque flesh, and it began to rape women by its tentacles. 
animeRelated	['Cambrian']
animeCharacters	['Kurakake, Keiko']
animeVoices	[]
animeStaff	[['Murakami, Kotaro', 'Producer'], ['Yoshiten', 'Chief Animation Director, Character Design'], ['Miyama, Noboru', 'Original Creator, Original Character Design']]
