animeTitle	b'Piano (TV)'
animeType	b'TV'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	6.01
animeUsers	2764
animeRank	
animePopularity	
animeDescription	"b'When Miu was young, she was fascinated by the piano and took up lessons.\n\nWhen the show opens, Miu is in middle school. She is shy, a soft-spoken girl who doesn\'t have a lot of confidence in herself. Her friends would describe her as ""sweet"" and ""quiet."" At this point, Miu has been taking piano lessons for some time and while people have told her that she\'s gotten very good over the years, Miu herself feels she\'s not really good at anything\xe2\x80\x94including the piano. Her teacher, Mr. Shirakawa, is often frustrated with her playing. Although she plays every note exactly correct, her heart just isn\'t in it...\n\nMeanwhile, Miu\'s come of the age when she\'s noticing boys and this shy young lady has noticed the handsome Kazuya Takahashi\xe2\x80\x94even if he hasn\'t noticed her.\n\nThis is Miu\'s story. The story of a young girl who is on a journey to discover the melody within her own heart and the courage to express it.\n\n(Source: RightStuf)'"
animeRelated	[b'Piano (TV) Specials']
animeCharacters	[b'Nomura, Miu', b'Nomura, Akiko', b'Nomura, Seiji', b'Shirakawa-sensei', b'Nomura, Hitomi', b'Takahashi, Kazuya', b'Takizawa', b'Matsubara, Yuuki']
animeVoices	[b'\nKawasumi, Ayako\nJapanese\n', b'\nNeya, Michiko\nJapanese\n', b'\nOotsuka, Akio\nJapanese\n', b'\nMiyamoto, Mitsuru\nJapanese\n', b'\nSasaki, Yuko\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nHoshi, Souichirou\nJapanese\n', b'\nKawakami, Tomoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamada, Yuuko\n\nProducer\n\n', b'\nWatanabe, Jun\n\nSound Director\n\n', b'\nEgami, Kiyoshi\n\nEpisode Director\n\n', b'\nKimiya, Shigeru\n\nEpisode Director\n\n']
