animeTitle	Tonari no Kaibutsu-kun: Tonari no Gokudou-kun
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.12
animeUsers	46012
animeRank	
animePopularity	1709
animeDescription	The characters of Tonari no Kaibutsu-kun return for an anime original story in a parallel universe.
animeRelated	['Tonari no Kaibutsu-kun']
animeCharacters	['Yoshida, Haru', 'Mizutani, Shizuku', 'Natsume, Asako', 'Yamaguchi, Kenji', 'Sasahara, Souhei', 'Misawa, Mitsuyoshi', 'Yoshida, Yuuzan', 'Ooshima, Chizuru', 'Miyama, Yuu', 'Ayanokouji, Masahiro']
animeVoices	['Suzuki, Tatsuhisa', 'Tomatsu, Haruka', 'Tanezaki, Atsumi', 'Terashima, Takuma', 'Oosaka, Ryouta', 'Higuchi, Tomoyuki', 'Nakamura, Yuuichi', 'Hanazawa, Kana', 'Yahagi, Sayuri', 'Abe, Atsushi']
animeStaff	[['Kaburagi, Hiro', 'Director'], ['Robico', 'Original Creator'], ['Takagi, Noboru', 'Series Composition'], ['Naganuma, Norihiro', 'Assistant Director']]
