animeTitle	Tales of Puppet
animeType	ONA
animeNumEpisode	16
releaseDate	2018-06-14 00:00:00
endDate	2019-10-01 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12276
animeDescription	A puppet parody of the Tales of franchise, filled with gags and help explain the popular RPG to newcomers.
animeRelated	['Tales of the Rays Gekijou', 'Tales of HR']
animeCharacters	['Crowe, Velvet', 'Lowell, Yuri', 'Sorey', 'Fon Fabre, Luke', 'Irving, Lloyd', 'Kresnik, Ludger Will', 'Mathis, Jude', 'Alvein, Cless', 'Lhant, Asbel', 'Hershel, Reid']
animeVoices	[]
animeStaff	[]
